question,answer,cleaned_question,cleaned_answer
nonfat.,of course. what else?,nonfat,course
of course. what else?,"we need cheese, bread, and ham.",course,need cheese bread ham
"we need cheese, bread, and ham.",what kind of cheese?,need cheese bread ham,kind cheese
what kind of cheese?,swiss.,kind cheese,swiss
swiss.,"of course, the cheese with holes in it.",swiss,course cheese hole
"of course, the cheese with holes in it.",i never used to buy swiss cheese.,course cheese hole,buy swiss cheese
i never used to buy swiss cheese.,why not?,buy swiss cheese,
why not?,i didn't want to pay for the holes.,,want pay hole
i need some pants.,i thought you just bought a pair.,need pant,think buy pair
i thought you just bought a pair.,i did.,think buy pair,
i did.,what's wrong with them so soon?,,wrong soon
what's wrong with them so soon?,"the pants are fine, but the pocket has a huge hole in it.",wrong soon,pant fine pocket huge hole
"the pants are fine, but the pocket has a huge hole in it.",you shouldn't carry your keys and pens in your pocket.,pant fine pocket huge hole,carry key pen pocket
you shouldn't carry your keys and pens in your pocket.,but that's what pockets are for.,carry key pen pocket,pocket
but that's what pockets are for.,you should carry them in a purse.,pocket,carry purse
you should carry them in a purse.,"i'm a man, and men don't carry purses!",carry purse,man man carry purse
"i'm a man, and men don't carry purses!","well, you should buy pants with stronger pockets.",man man carry purse,buy pant strong pocket
"well, you should buy pants with stronger pockets.",i would if i could find someone who makes strong pockets.,buy pant strong pocket,find make strong pocket
i would if i could find someone who makes strong pockets.,try a google search online.,find make strong pocket,try google search online
what are those wipes for?,you use them to wipe the handle of the shopping cart.,wipe,use wipe handle shopping cart
you use them to wipe the handle of the shopping cart.,that's a great idea.,use wipe handle shopping cart,great idea
that's a great idea.,"yes, all the markets just started offering wipes to shoppers.",great idea,yes market start offer wipe shopper
"yes, all the markets just started offering wipes to shoppers.",i'm going to take five wipes.,yes market start offer wipe shopper,go wipe
i'm going to take five wipes.,what do you need five of them for?,go wipe,need
what do you need five of them for?,"one to wipe the handle, and the others to wipe the produce.",need,wipe handle wipe produce
"one to wipe the handle, and the others to wipe the produce.",what's the matter with the produce?,wipe handle wipe produce,matter produce
what's the matter with the produce?,do you think the bananas fell from the sky?,matter produce,think banana fall sky
do you think the bananas fell from the sky?,what do you mean?,think banana fall sky,mean
what do you mean?,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges.",mean,mean dirty hand pick banana apple orange
"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges.","well, you better save a wipe for the dirty dollar bills you're going to pay with.",mean dirty hand pick banana apple orange,well save wipe dirty dollar bill go pay
did you go to the 99 cents store?,"yes, i did.",cent store,yes
"yes, i did.",what did you buy?,yes,buy
what did you buy?,"well, i got a lot of good deals, as usual.",buy,get lot good deal usual
"well, i got a lot of good deals, as usual.",like what?,get lot good deal usual,like
like what?,"well, a dozen large eggs were only 99 cents.",like,dozen large egg cent
"well, a dozen large eggs were only 99 cents.",that's a good deal.,dozen large egg cent,good deal
that's a good deal.,and a one-pound tub of soft butter was the same price.,good deal,pound tub soft butter price
and a one-pound tub of soft butter was the same price.,another good deal.,pound tub soft butter price,good deal
another good deal.,but the best deal was five pounds of potatoes for 99 cents.,good deal,good deal pound potato cent
but the best deal was five pounds of potatoes for 99 cents.,i don't know how that store makes money.,good deal pound potato cent,know store make money
i don't know how that store makes money.,"neither do i, but they're doing something right.",know store make money,right
i need a new computer.,what's the matter with yours?,need new computer,matter
what's the matter with yours?,it's six years old.,matter,year old
it's six years old.,that's pretty old.,year old,pretty old
that's pretty old.,"it still works, but i'm going to give it to a charity.",pretty old,work go charity
"it still works, but i'm going to give it to a charity.",are you going to buy a desktop or laptop?,work go charity,go buy desktop laptop
are you going to buy a desktop or laptop?,"oh, a laptop, of course.",go buy desktop laptop,oh laptop course
"oh, a laptop, of course.",a pc or a mac?,oh laptop course,pc mac
a pc or a mac?,i haven't decided yet.,pc mac,decide
i haven't decided yet.,more and more people are using macs.,decide,people mac
more and more people are using macs.,but 90 percent of the world uses pcs.,people mac,percent world use pc
but 90 percent of the world uses pcs.,and that's not going to change anytime soon.,percent world use pc,go change anytime soon
i got ripped off.,what happened?,get rip,happen
what happened?,"i had a car problem, so i went online.",happen,car problem go online
"i had a car problem, so i went online.",did you find a solution?,car problem go online,find solution
did you find a solution?,"yes, i did. a site i went to said they would send me the solution.",find solution,yes site go say send solution
"yes, i did. a site i went to said they would send me the solution.","so, what's the problem?",yes site go say send solution,problem
"so, what's the problem?","i sent them $20 using my credit card, but they never sent me the solution.",problem,send credit card send solution
"i sent them $20 using my credit card, but they never sent me the solution.",what are you going to do?,send credit card send solution,go
what are you going to do?,i sent them an email asking for my money back.,go,send email ask money
i sent them an email asking for my money back.,have you heard from them?,send email ask money,hear
have you heard from them?,not yet. it's been a week.,hear,week
not yet. it's been a week.,"well, i guess that's a $20 lesson for you.",week,guess lesson
where's the pencil sharpener?,which one?,pencil sharpener,
which one?,any one. i need to sharpen this pencil.,,need sharpen pencil
any one. i need to sharpen this pencil.,i think there's one on the dining room table.,need sharpen pencil,think dining room table
i think there's one on the dining room table.,i already looked there.,think dining room table,look
i already looked there.,did you look in the desk drawer?,look,look desk drawer
did you look in the desk drawer?,"yes, i looked there, too.",look desk drawer,yes look
